correct,correctSuppressions,countAnticipatory,countGo,countNoGo,countProbes,countValidGo,digit,digitPresentationTime,fontSize,incorrectSuppressions,latency,latencyType,maskPresentationTime,phase,radioButtons.difficulty.response,radioButtons.interest.response,response,responseType,rt,trialCount,trialType
1,0,0,1,0,0,1,6,250,16pct,0,617,3,900,test,,,57,Go Success,617,0,Go
1,0,0,2,0,0,2,8,250,10pct,0,381,3,900,test,,,57,Go Success,381,1,Go
1,0,0,3,0,0,3,8,250,4pct,0,295,3,900,test,,,57,Go Success,295,2,Go
1,0,0,4,0,0,4,6,250,10pct,0,240,3,900,test,,,57,Go Success,240,3,Go
1,0,0,5,0,0,5,5,250,4pct,0,282,3,900,test,,,57,Go Success,282,4,Go
1,0,0,6,0,0,6,4,250,2pct,0,299,3,900,test,,,57,Go Success,299,5,Go
1,0,0,7,0,0,7,2,250,16pct,0,279,3,900,test,,,57,Go Success,279,6,Go
0,0,0,7,1,0,7,3,250,4pct,0,336,3,900,test,,,57,NoGo Failure,336,7,No-Go
1,0,0,8,1,0,8,9,250,4pct,0,298,3,900,test,,,57,Go Success,298,8,Go
1,0,0,9,1,0,9,1,250,10pct,0,444,3,900,test,,,57,Go Success,444,9,Go
1,1,0,9,2,0,9,3,250,16pct,0,1150,0,900,test,,,0,NoGo Success,,10,No-Go
1,1,0,10,2,0,10,5,250,16pct,0,312,3,900,test,,,57,Go Success,312,11,Go
1,1,0,11,2,0,11,7,250,10pct,0,338,3,900,test,,,57,Go Success,338,12,Go
1,1,0,12,2,0,12,9,250,4pct,0,356,3,900,test,,,57,Go Success,356,13,Go
1,1,0,13,2,0,13,4,250,2pct,0,446,3,900,test,,,57,Go Success,446,14,Go
1,1,0,14,2,0,14,1,250,10pct,0,288,3,900,test,,,57,Go Success,288,15,Go
1,1,0,15,2,0,15,7,250,16pct,0,322,3,900,test,,,57,Go Success,322,16,Go
1,1,0,16,2,0,16,2,250,4pct,0,339,3,900,test,,,57,Go Success,339,17,Go
